id,userId,dateOfBirth,address
1,753,3/4/1995,17213 Dottie Terrace
2,454,1/26/1983,21 Hooker Circle
3,718,10/5/1992,258 Briar Crest Hill
4,603,3/26/1985,199 Oneill Street
5,450,7/2/2002,720 Esch Junction
6,755,3/8/1996,3 Pankratz Hill
7,628,2/8/1997,207 Sachtjen Place
8,248,2/20/1997,012 Sugar Trail
9,586,10/6/1996,79 Lerdahl Street
10,390,6/24/1984,63 Loeprich Alley
11,673,11/17/1993,33 Corry Drive
12,739,9/12/2004,79 1st Point
13,687,5/9/2005,2704 3rd Lane
14,549,10/14/1991,02499 Hanover Court
15,49,1/15/1988,1 Holy Cross Parkway
16,562,10/17/1981,896 Service Circle
17,204,11/19/1987,978 Chinook Hill
18,772,5/3/1982,953 Monument Center
19,324,2/18/2000,92 Carberry Alley
20,809,6/19/1981,6 Dovetail Road
21,509,8/2/1991,8220 Susan Center
22,620,12/22/2001,6966 Browning Junction
23,368,6/29/1990,1280 Service Alley
24,209,5/8/1982,22 Bartillon Pass
25,799,11/30/1990,833 Graceland Lane
26,298,9/18/1995,4507 Kropf Avenue
27,612,6/29/2003,4157 Menomonie Avenue
28,803,4/29/1982,53 South Drive
29,186,12/27/1998,86 Armistice Road
30,358,4/1/1990,22480 Merrick Avenue
31,961,11/15/1996,7990 Almo Crossing
32,133,6/18/1987,5 Dixon Place
33,105,7/23/1982,4 Pierstorff Way
34,495,2/16/1985,999 Del Sol Street
35,394,4/18/1986,120 Hintze Way
36,259,8/6/1991,69839 Forest Crossing
37,384,6/28/1988,76 Forest Run Point
38,915,9/18/1984,53 Canary Hill
39,639,9/19/1987,42183 Nevada Circle
40,179,6/1/2005,35265 Jenna Lane
41,880,4/4/1996,56346 Upham Street
42,886,9/5/2000,7977 Holmberg Way
43,120,9/25/2001,125 Burrows Avenue
44,318,5/12/1993,510 Texas Plaza
45,308,5/23/2001,348 Thackeray Park
46,469,8/14/2005,79 Porter Trail
47,631,11/9/2000,77 Mitchell Way
48,504,3/26/1984,964 Oxford Park
49,664,9/24/1986,2079 Forest Run Avenue
50,716,6/4/1985,60 Sauthoff Way
51,42,6/22/1992,9036 Karstens Parkway
